Time (h),Strain,Glucose (g/L),sd
5, ST14207,18.09548367,1.677563509
24, ST14207,0,0
29, ST14207,0,0
46, ST14207,0,0
72, ST14207,0,0
5,ST14186,7.433036,1.27401153
24,ST14186,0,0
29,ST14186,0,0
46,ST14186,0,0
72,ST14186,0,0
5,ST14204,11.60365633,0.122378518
24,ST14204,0,0
29,ST14204,0,0
46,ST14204,0,0
72,ST14204,0,0
5,ST14210,10.86114067,0.38921712
24,ST14210,0,0
29,ST14210,0,0
46,ST14210,0,0
72,ST14210,0,0
5,ST14205,7.074823667,0.194533003
24,ST14205,0,0
29,ST14205,0,0
46,ST14205,0,0
72,ST14205,0,0
5,ST14201,12.12532767,0.23033259
24,ST14201,0,0
29,ST14201,0,0
46,ST14201,0,0
72,ST14201,0,0
5,ST14195,14.06007567,1.079468772
24,ST14195,0,0
29,ST14195,0,0
46,ST14195,0,0
72,ST14195,0,0
5,ST14206,14.715101,0.989711057
24,ST14206,0,0
29,ST14206,0,0
46,ST14206,0,0
72,ST14206,0,0
5,ST14211,10.45230733,0.647295533
24,ST14211,0,0
29,ST14211,0,0
46,ST14211,0,0
72,ST14211,0,0
5,ST14212,11.34460467,0.709541789
24,ST14212,0,0
29,ST14212,0,0
46,ST14212,0,0
72,ST14212,0,0
5,ST10284,12.28068433,0.458727008
24,ST10284,0,0
29,ST10284,0,0
46,ST10284,0,0
72,ST10284,0,0
