Time,mean,low,high
0,10.54331324,10.54331324,10.54331324
4,9.08480696,8.73912549,9.553946097
8,8.169514414,7.626385967,8.41651504
12,5.57536817,5.1556121,5.89631546
16,3.82060613,3.573648149,4.018138398
20,3.22638881,2.732515494,3.596676522
24,2.706160801,2.187638597,3.199991471
28,2.581082618,1.914411213,3.12425371
32,2.579419458,1.96213112,2.900409393
36,2.528415875,2.133308694,2.799980099
40,2.477327003,1.909421732,2.921774606
44,2.451100244,2.154716552,2.796696423
48,2.474085973,2.153096037,2.770384375
52,2.42308239,2.10204981,2.620572013
60,2.296213112,1.82711662,2.864161028
